Numero_Giorno,Zona,P
1,Aeroporto,15.387485224586287
1,Fiera,34.76481481481481
2,Aeroporto,16.76093380614657
2,Fiera,27.024884259259256
3,Aeroporto,15.408244680851064
3,Fiera,25.630439814814817
4,Aeroporto,15.795138888888888
4,Fiera,33.736863425925925
5,Aeroporto,14.677452718676122
5,Fiera,34.91857638888889
6,Aeroporto,14.661716903073286
6,Fiera,33.16105324074074
7,Aeroporto,14.656102245862884
7,Fiera,32.17806712962963
8,Aeroporto,15.093971631205674
8,Fiera,28.20150462962963
9,Aeroporto,14.5802304964539
9,Fiera,22.208622685185187
10,Aeroporto,14.999852245862884
10,Fiera,20.732349537037038
11,Aeroporto,14.618203309692673
11,Fiera,25.06574074074074
12,Aeroporto,13.930851063829786
12,Fiera,24.85902777777778
13,Aeroporto,13.433732269503546
13,Fiera,23.82991898148148
14,Aeroporto,14.085401891252955
14,Fiera,21.709722222222222
15,Aeroporto,13.408909574468085
15,Fiera,18.406423611111112
16,Aeroporto,13.755319148936172
16,Fiera,18.568113425925926
17,Aeroporto,13.817893026004727
17,Fiera,18.93402777777778
18,Aeroporto,14.377216312056738
18,Fiera,24.501099537037035
19,Aeroporto,13.322177895981087
19,Fiera,26.094386574074075
20,Aeroporto,12.489657210401893
20,Fiera,26.66979166666667
21,Aeroporto,13.072916666666666
21,Fiera,27.105092592592595
22,Aeroporto,13.11931146572104
22,Fiera,25.97939814814815
23,Aeroporto,13.388371749408982
23,Fiera,22.371238425925924
24,Aeroporto,12.896941489361701
24,Fiera,22.61545138888889
25,Aeroporto,13.035313238770685
25,Fiera,31.694386574074073
26,Aeroporto,11.653073286052008
26,Fiera,33.812268518518515
27,Aeroporto,11.11716903073286
27,Fiera,34.27158564814815
28,Aeroporto,12.395020685579196
28,Fiera,34.78686342592592
29,Aeroporto,12.680851063829786
29,Fiera,33.101273148148145
30,Aeroporto,13.313017139479905
30,Fiera,28.05474537037037
31,Aeroporto,13.346800541875847
31,Fiera,27.201747815230963
