Numero_Giorno,Zona,P
1,Aeroporto,11.074246453900708
1,Fiera,44.30243055555556
2,Aeroporto,10.531471631205674
2,Fiera,51.70636574074074
3,Aeroporto,13.428043735224586
3,Fiera,47.5675925925926
4,Aeroporto,15.391770094562647
4,Fiera,49.06221064814815
5,Aeroporto,17.14915780141844
5,Fiera,90.69797453703704
6,Aeroporto,15.286790780141844
6,Fiera,97.69716435185184
7,Aeroporto,15.968897754137116
7,Fiera,86.22349537037037
8,Aeroporto,16.23005319148936
8,Fiera,66.1708912037037
9,Aeroporto,14.66119976359338
9,Fiera,62.06336805555555
10,Aeroporto,13.450797872340425
10,Fiera,56.583564814814814
11,Aeroporto,13.582668439716313
11,Fiera,60.81064814814815
12,Aeroporto,15.224881796690307
12,Fiera,64.46122685185185
13,Aeroporto,13.96091903073286
13,Fiera,65.16319444444444
14,Aeroporto,14.588430851063828
14,Fiera,67.62100694444445
15,Aeroporto,16.097517730496453
15,Fiera,67.1126736111111
16,Aeroporto,16.44806442080378
16,Fiera,61.335590277777776
17,Aeroporto,15.124113475177305
17,Fiera,51.9990162037037
18,Aeroporto,15.684766548463358
18,Fiera,53.10185185185185
19,Aeroporto,19.09736997635934
19,Fiera,70.03894675925926
20,Aeroporto,17.35822990543735
20,Fiera,80.66041666666666
21,Aeroporto,16.233082151300234
21,Fiera,106.3245949074074
22,Aeroporto,16.63356973995272
22,Fiera,121.50538194444444
23,Aeroporto,16.678043735224588
23,Fiera,110.79751157407408
24,Aeroporto,15.73012706855792
24,Fiera,88.34484953703704
25,Aeroporto,15.278147163120567
25,Fiera,50.12447916666667
26,Aeroporto,16.880540780141846
26,Fiera,63.40850694444445
27,Aeroporto,16.2989804964539
27,Fiera,76.0792824074074
28,Aeroporto,16.26677009456265
28,Fiera,63.54409722222223
29,Aeroporto,16.873079196217493
29,Fiera,63.42083333333333
30,Aeroporto,16.527851654846334
30,Fiera,58.04247685185185
31,Aeroporto,16.68547294605148
31,Fiera,60.004119850187266
