Numero_Giorno,Zona,P
1,Aeroporto,11.898492907801419
1,Fiera,57.31435185185185
2,Aeroporto,12.190898345153665
2,Fiera,58.35787037037037
3,Aeroporto,13.906397754137116
3,Fiera,67.26805555555556
4,Aeroporto,12.280732860520095
4,Fiera,75.72581018518518
5,Aeroporto,11.969858156028367
5,Fiera,107.87459490740741
6,Aeroporto,10.998522458628841
6,Fiera,116.14890046296296
7,Aeroporto,13.911790780141844
7,Fiera,104.26116898148149
8,Aeroporto,12.40410756501182
8,Fiera,53.47436342592593
9,Aeroporto,12.956412529550827
9,Fiera,47.80700231481482
10,Aeroporto,13.15270390070922
10,Fiera,69.41666666666667
11,Aeroporto,10.617242907801419
11,Fiera,66.38003472222222
12,Aeroporto,10.881279550827422
12,Fiera,66.60914351851852
13,Aeroporto,9.934397163120567
13,Fiera,72.12945601851852
14,Aeroporto,12.714243498817966
14,Fiera,62.9949074074074
15,Aeroporto,12.027112884160756
15,Fiera,55.833333333333336
16,Aeroporto,12.341164302600474
16,Fiera,51.77239583333333
17,Aeroporto,13.084293735224586
17,Fiera,71.96875
18,Aeroporto,12.205526004728133
18,Fiera,75.79068287037036
19,Aeroporto,12.018543144208039
19,Fiera,83.94351851851852
20,Aeroporto,10.962248817966902
20,Fiera,147.39658564814815
21,Aeroporto,14.459219858156027
21,Fiera,152.12158564814814
22,Aeroporto,13.85372340425532
22,Fiera,133.8494212962963
23,Aeroporto,13.03051122931442
23,Fiera,101.94461805555555
24,Aeroporto,15.045508274231679
24,Fiera,67.39479166666666
25,Aeroporto,11.96941489361702
25,Fiera,66.90069444444445
26,Aeroporto,11.382609338061465
26,Fiera,65.21469907407408
27,Aeroporto,10.520463947990544
27,Fiera,64.77430555555556
28,Aeroporto,12.843158983451536
28,Fiera,61.73894675925926
29,Aeroporto,11.37854609929078
29,Fiera,51.2671875
30,Aeroporto,13.645981087470448
30,Fiera,51.778761574074075
31,Aeroporto,15.335086461072596
31,Fiera,95.47409488139826
