Numero_Giorno,Zona,P
1,Aeroporto,13.582299054373522
1,Fiera,40.01857638888889
2,Aeroporto,12.435209810874705
2,Fiera,43.92094907407408
3,Aeroporto,11.70670803782506
3,Fiera,50.003009259259265
4,Aeroporto,12.566193853427896
4,Fiera,48.76770833333333
5,Aeroporto,13.247562056737587
5,Fiera,38.380266203703705
6,Aeroporto,13.837248817966902
6,Fiera,30.050520833333334
7,Aeroporto,13.008200354609928
7,Fiera,29.41197916666667
8,Aeroporto,13.972739361702127
8,Fiera,43.683506944444446
9,Aeroporto,13.533983451536642
9,Fiera,47.35300925925926
10,Aeroporto,12.281176122931441
10,Fiera,49.09710648148148
11,Aeroporto,12.553634751773048
11,Fiera,51.8203125
12,Aeroporto,13.389627659574467
12,Fiera,47.652314814814815
13,Aeroporto,13.945921985815602
13,Fiera,39.73159722222222
14,Aeroporto,14.153073286052008
14,Fiera,39.653067129629626
15,Aeroporto,15.856678486997636
15,Fiera,52.08148148148148
16,Aeroporto,14.129210992907801
16,Fiera,54.67864583333333
17,Aeroporto,12.1860963356974
17,Fiera,57.674247685185186
18,Aeroporto,12.994828605200945
18,Fiera,59.60914351851852
19,Aeroporto,13.16903073286052
19,Fiera,56.24583333333334
20,Aeroporto,13.479609929078014
20,Fiera,46.96215277777778
21,Aeroporto,15.21520390070922
21,Fiera,43.278645833333336
22,Aeroporto,15.752290189125295
22,Fiera,99.9904513888889
23,Aeroporto,14.079639479905438
23,Fiera,118.30063657407408
24,Aeroporto,13.429151891252955
24,Fiera,110.97297453703703
25,Aeroporto,15.051640070921986
25,Fiera,95.0025462962963
26,Aeroporto,13.070700354609928
26,Fiera,64.36226851851852
27,Aeroporto,12.884751773049645
27,Fiera,40.17118055555556
28,Aeroporto,12.722960992907801
28,Fiera,37.00231481481482
29,Aeroporto,13.415189125295507
29,Fiera,48.59247685185185
30,Aeroporto,11.975854649772891
30,Fiera,51.08008739076155
