data_analisi,classe,anomaly_score
2025-03-01,Esc,0
2025-03-01,ExtraResCom_Lav,0
2025-03-01,ResAA_Lav,1
2025-03-01,ResAA_NonLav,0
2025-03-01,ResCom_Lav,0
2025-03-01,ResCom_NonLav,0
2025-03-01,Tran,0
2025-03-01,Tur,0
2025-03-02,Esc,0
2025-03-02,ExtraResCom_Lav,0
2025-03-02,ResAA_Lav,1
2025-03-02,ResAA_NonLav,0
2025-03-02,ResCom_Lav,0
2025-03-02,ResCom_NonLav,0
2025-03-02,Tran,0
2025-03-02,Tur,0
2025-03-03,Esc,0
2025-03-03,ExtraResCom_Lav,0
2025-03-03,ResAA_Lav,1
2025-03-03,ResAA_NonLav,0
2025-03-03,ResCom_Lav,0
2025-03-03,ResCom_NonLav,0
2025-03-03,Tran,0
2025-03-03,Tur,0
2025-03-04,Esc,0
2025-03-04,ExtraResCom_Lav,1
2025-03-04,ResAA_Lav,1
2025-03-04,ResAA_NonLav,1
2025-03-04,ResCom_Lav,0
2025-03-04,ResCom_NonLav,0
2025-03-04,Tran,0
2025-03-04,Tur,0
2025-03-05,Esc,0
2025-03-05,ExtraResCom_Lav,0
2025-03-05,ResAA_Lav,1
2025-03-05,ResAA_NonLav,0
2025-03-05,ResCom_Lav,0
2025-03-05,ResCom_NonLav,0
2025-03-05,Tran,0
2025-03-05,Tur,0
2025-03-06,Esc,0
2025-03-06,ExtraResCom_Lav,1
2025-03-06,ResAA_Lav,1
2025-03-06,ResAA_NonLav,0
2025-03-06,ResCom_Lav,0
2025-03-06,ResCom_NonLav,0
2025-03-06,Tran,0
2025-03-06,Tur,0
2025-03-07,Esc,0
2025-03-07,ExtraResCom_Lav,0
2025-03-07,ResAA_Lav,1
2025-03-07,ResAA_NonLav,0
2025-03-07,ResCom_Lav,0
2025-03-07,ResCom_NonLav,0
2025-03-07,Tran,0
2025-03-07,Tur,0
2025-03-08,Esc,0
2025-03-08,ExtraResCom_Lav,0
2025-03-08,ResAA_Lav,1
2025-03-08,ResAA_NonLav,0
2025-03-08,ResCom_Lav,0
2025-03-08,ResCom_NonLav,0
2025-03-08,Tran,0
2025-03-08,Tur,0
2025-03-09,Esc,0
2025-03-09,ExtraResCom_Lav,0
2025-03-09,ResAA_Lav,1
2025-03-09,ResAA_NonLav,0
2025-03-09,ResCom_Lav,0
2025-03-09,ResCom_NonLav,0
2025-03-09,Tran,0
2025-03-09,Tur,0
2025-03-10,Esc,0
2025-03-10,ExtraResCom_Lav,0
2025-03-10,ResAA_Lav,1
2025-03-10,ResAA_NonLav,0
2025-03-10,ResCom_Lav,0
2025-03-10,ResCom_NonLav,0
2025-03-10,Tran,0
2025-03-10,Tur,0
2025-03-11,Esc,0
2025-03-11,ExtraResCom_Lav,0
2025-03-11,ResAA_Lav,1
2025-03-11,ResAA_NonLav,0
2025-03-11,ResCom_Lav,1
2025-03-11,ResCom_NonLav,0
2025-03-11,Tran,0
2025-03-11,Tur,0
2025-03-12,Esc,0
2025-03-12,ExtraResCom_Lav,0
2025-03-12,ResAA_Lav,1
2025-03-12,ResAA_NonLav,0
2025-03-12,ResCom_Lav,1
2025-03-12,ResCom_NonLav,0
2025-03-12,Tran,0
2025-03-12,Tur,0
2025-03-13,Esc,0
2025-03-13,ExtraResCom_Lav,0
2025-03-13,ResAA_Lav,1
2025-03-13,ResAA_NonLav,0
2025-03-13,ResCom_Lav,1
2025-03-13,ResCom_NonLav,0
2025-03-13,Tran,0
2025-03-13,Tur,0
2025-03-14,Esc,0
2025-03-14,ExtraResCom_Lav,0
2025-03-14,ResAA_Lav,1
2025-03-14,ResAA_NonLav,0
2025-03-14,ResCom_Lav,0
2025-03-14,ResCom_NonLav,0
2025-03-14,Tran,0
2025-03-14,Tur,0
2025-03-15,Esc,0
2025-03-15,ExtraResCom_Lav,0
2025-03-15,ResAA_Lav,1
2025-03-15,ResAA_NonLav,1
2025-03-15,ResCom_Lav,0
2025-03-15,ResCom_NonLav,0
2025-03-15,Tran,0
2025-03-15,Tur,0
2025-03-16,Esc,0
2025-03-16,ExtraResCom_Lav,0
2025-03-16,ResAA_Lav,1
2025-03-16,ResAA_NonLav,1
2025-03-16,ResCom_Lav,1
2025-03-16,ResCom_NonLav,0
2025-03-16,Tran,0
2025-03-16,Tur,0
2025-03-17,Esc,0
2025-03-17,ExtraResCom_Lav,0
2025-03-17,ResAA_Lav,1
2025-03-17,ResAA_NonLav,0
2025-03-17,ResCom_Lav,0
2025-03-17,ResCom_NonLav,0
2025-03-17,Tran,0
2025-03-17,Tur,0
2025-03-18,Esc,0
2025-03-18,ExtraResCom_Lav,0
2025-03-18,ResAA_Lav,1
2025-03-18,ResAA_NonLav,0
2025-03-18,ResCom_Lav,0
2025-03-18,ResCom_NonLav,0
