day,telecamera
2022-03-01,286.0
2022-03-02,291.0
2022-03-03,263.0
2022-03-04,292.0
2022-03-05,763.0
2022-03-06,1409.0
2022-03-07,208.0
2022-03-08,268.0
2022-03-09,264.0
2022-03-10,248.0
2022-03-11,266.0
2022-03-12,709.0
2022-03-13,1292.0
2022-03-14,214.0
2022-03-15,288.0
2022-03-16,264.0
2022-03-17,244.0
2022-03-18,342.0
2022-03-19,857.0
2022-03-20,1397.0
2022-03-21,238.0
2022-03-22,274.0
2022-03-23,250.0
2022-03-24,331.0
2022-03-25,366.0
2022-03-26,847.0
2022-03-27,1566.0
2022-03-28,275.0
2022-03-29,349.0
2022-03-30,233.0
2022-03-31,158.0
2022-04-01,402.0
2022-04-02,694.0
2022-04-03,1014.0
2022-04-04,291.0
2022-04-05,336.0
2022-04-06,252.0
2022-04-07,329.0
2022-04-08,291.0
2022-04-09,571.0
2022-04-10,1314.0
2022-04-11,294.0
2022-04-12,281.0
2022-04-13,360.0
2022-04-14,308.0
2022-04-15,523.0
2022-04-16,1078.0
2022-04-17,1415.0
2022-04-18,2522.0
2022-04-19,489.0
2022-04-20,435.0
2022-04-21,205.0
2022-04-22,203.0
2022-04-23,923.0
2022-04-24,949.0
2022-04-25,2416.0
2022-04-26,331.0
2022-04-27,375.0
2022-04-28,409.0
2022-04-29,418.0
2022-04-30,887.0
2022-05-01,1156.0
2022-05-02,292.0
2022-05-03,353.0
2022-05-04,345.0
2022-05-05,277.0
2022-05-06,101.0
2022-05-07,537.0
2022-05-08,1036.0
2022-05-09,317.0
2022-05-10,282.0
2022-05-11,404.0
2022-05-12,332.0
2022-05-13,333.0
2022-05-14,875.0
2022-05-15,1261.0
2022-05-16,327.0
2022-05-17,313.0
2022-05-18,354.0
2022-05-19,398.0
2022-05-20,389.0
2022-05-21,689.0
2022-05-22,1034.0
2022-05-23,361.0
2022-05-24,400.0
2022-05-25,418.0
2022-05-26,367.0
2022-05-27,406.0
2022-05-28,723.0
2022-05-29,617.0
2022-05-30,525.0
2022-05-31,314.0
2022-06-01,333.0
2022-06-02,1105.0
2022-06-03,667.0
2022-06-04,1000.0
2022-06-05,1222.0
2022-06-06,379.0
2022-06-07,344.0
2022-06-08,331.0
2022-06-09,394.0
2022-06-10,382.0
2022-06-11,643.0
2022-06-12,771.0
2022-06-13,321.0
2022-06-14,301.0
2022-06-15,312.0
2022-06-16,322.0
2022-06-17,444.0
2022-06-18,636.0
2022-06-19,608.0
2022-06-20,293.0
2022-06-21,299.0
2022-06-22,320.0
2022-06-23,343.0
2022-06-24,374.0
2022-06-25,678.0
2022-06-26,730.0
2022-06-27,354.0
2022-06-28,347.0
2022-06-29,313.0
2022-06-30,321.0
2022-07-01,343.0
2022-07-02,559.0
2022-07-03,613.0
2022-07-04,285.0
2022-07-05,306.0
2022-07-06,334.0
2022-07-07,317.0
2022-07-08,399.0
2022-07-09,652.0
2022-07-10,691.0
2022-07-11,339.0
2022-07-12,334.0
2022-07-13,351.0
2022-07-14,373.0
2022-07-15,284.0
2022-07-16,523.0
2022-07-17,499.0
2022-07-18,489.0
2022-07-19,283.0
2022-07-20,389.0
2022-07-21,342.0
2022-07-22,279.0
2022-07-23,403.0
2022-07-24,407.0
2022-07-25,285.0
2022-07-26,322.0
2022-07-27,327.0
2022-07-28,449.0
2022-07-29,342.0
2022-07-30,569.0
2022-07-31,588.0
2022-08-01,300.0
2022-08-02,288.0
2022-08-03,206.0
2022-08-04,294.0
2022-08-05,315.0
2022-08-06,527.0
2022-08-07,806.0
2022-08-08,378.0
2022-08-09,440.0
2022-08-10,409.0
2022-08-11,370.0
2022-08-12,477.0
2022-08-13,646.0
2022-08-14,760.0
2022-08-15,909.0
2022-08-16,525.0
2022-08-17,484.0
2022-08-18,366.0
2022-08-19,490.0
2022-08-20,695.0
2022-08-21,751.0
2022-08-22,358.0
2022-08-23,388.0
2022-08-24,440.0
2022-08-25,424.0
2022-08-26,394.0
2022-08-27,611.0
2022-08-28,837.0
2022-08-29,379.0
2022-08-30,323.0
2022-08-31,427.0
2022-09-01,336.0
2022-09-02,974.0
2022-09-03,1131.0
2022-09-04,2309.0
2022-09-05,885.0
2022-09-06,415.0
2022-09-07,335.0
2022-09-08,375.0
2022-09-09,364.0
2022-09-10,812.0
2022-09-11,900.0
2022-09-12,307.0
2022-09-13,300.0
2022-09-14,352.0
2022-09-15,293.0
2022-09-16,538.0
2022-09-17,1201.0
2022-09-18,3048.0
2022-09-19,291.0
2022-09-20,364.0
2022-09-21,320.0
2022-09-22,408.0
2022-09-23,349.0
2022-09-24,483.0
2022-09-25,941.0
2022-09-26,299.0
2022-09-27,288.0
2022-09-28,321.0
2022-09-29,312.0
2022-09-30,175.0
2022-10-01,691.0
2022-10-02,1436.0
2022-10-03,342.0
2022-10-04,511.0
2022-10-05,303.0
2022-10-06,358.0
2022-10-07,370.0
2022-10-08,819.0
2022-10-09,1145.0
2022-10-10,346.0
2022-10-11,283.0
2022-10-12,447.0
2022-10-13,303.0
2022-10-14,353.0
2022-10-15,893.0
2022-10-16,1368.0
2022-10-17,258.0
2022-10-18,289.0
2022-10-19,292.0
2022-10-20,282.0
2022-10-21,271.0
2022-10-22,778.0
2022-10-23,1265.0
2022-10-24,238.0
2022-10-25,271.0
2022-10-26,265.0
2022-10-27,303.0
2022-10-28,321.0
2022-10-29,904.0
2022-10-30,1905.0
2022-10-31,1726.0
2022-11-01,1879.0
2022-11-02,355.0
2022-11-03,246.0
2022-11-04,277.0
2022-11-05,578.0
2022-11-06,1267.0
2022-11-07,203.0
2022-11-08,251.0
2022-11-09,232.0
2022-11-10,199.0
2022-11-11,235.0
2022-11-12,568.0
2022-11-13,443.0
2022-11-14,248.0
2022-11-15,93.0
2022-11-16,140.0
2022-11-17,231.0
2022-11-18,307.0
2022-11-19,283.0
2022-11-20,1044.0
2022-11-21,232.0
2022-11-22,38.0
2022-11-23,257.0
2022-11-24,256.0
2022-11-25,218.0
2022-11-26,399.0
2022-11-27,883.0
2022-11-28,210.0
2022-11-29,74.0
2022-11-30,165.0
2022-12-01,195.0
2022-12-02,207.0
2022-12-03,164.0
2022-12-04,416.0
2022-12-05,174.0
2022-12-06,215.0
2022-12-07,214.0
2022-12-08,439.0
2022-12-09,
2022-12-10,165.0
2022-12-11,216.0
2022-12-12,59.0
2022-12-13,99.0
2022-12-14,144.0
2022-12-15,109.0
2022-12-16,167.0
2022-12-17,339.0
2022-12-18,698.0
2022-12-19,207.0
2022-12-20,222.0
2022-12-21,174.0
2022-12-22,196.0
2022-12-23,204.0
2022-12-24,300.0
2022-12-25,354.0
2022-12-26,628.0
2022-12-27,284.0
2022-12-28,349.0
2022-12-29,388.0
2022-12-30,133.0
2022-12-31,551.0
2023-01-01,869.0
2023-01-02,433.0
2023-01-03,404.0
2023-01-04,441.0
2023-01-05,486.0
2023-01-06,1153.0
2023-01-07,770.0
2023-01-08,640.0
2023-01-09,159.0
2023-01-10,231.0
2023-01-11,92.0
2023-01-12,243.0
2023-01-13,182.0
2023-01-14,543.0
2023-01-15,810.0
2023-01-16,148.0
2023-01-17,114.0
2023-01-18,201.0
2023-01-19,146.0
2023-01-20,136.0
2023-01-21,360.0
2023-01-22,146.0
2023-01-23,65.0
2023-01-24,216.0
2023-01-25,127.0
2023-01-26,192.0
2023-01-27,217.0
2023-01-28,406.0
2023-01-29,843.0
2023-01-30,208.0
2023-01-31,215.0
2023-02-01,118.0
2023-02-02,242.0
2023-02-03,219.0
2023-02-04,536.0
2023-02-05,843.0
2023-02-06,152.0
2023-02-07,133.0
2023-02-08,193.0
2023-02-09,192.0
2023-02-10,306.0
2023-02-11,537.0
2023-02-12,950.0
2023-02-13,265.0
2023-02-14,306.0
2023-02-15,236.0
2023-02-16,247.0
2023-02-17,260.0
2023-02-18,583.0
2023-02-19,1216.0
2023-02-20,263.0
2023-02-21,189.0
2023-02-22,210.0
2023-02-23,250.0
2023-02-24,325.0
2023-02-25,530.0
2023-02-26,60.0
2023-02-27,136.0
2023-02-28,193.0
2023-03-01,47.0
2023-03-02,160.0
2023-03-03,243.0
2023-03-04,779.0
2023-03-05,1288.0
2023-03-06,252.0
2023-03-07,212.0
2023-03-08,267.0
2023-03-09,240.0
2023-03-10,238.0
2023-03-11,802.0
2023-03-12,1660.0
2023-03-13,223.0
2023-03-14,197.0
2023-03-15,189.0
2023-03-16,226.0
2023-03-17,291.0
2023-03-18,691.0
2023-03-19,1040.0
2023-03-20,137.0
2023-03-21,273.0
2023-03-22,282.0
2023-03-23,281.0
2023-03-24,270.0
2023-03-25,1011.0
2023-03-26,1402.0
2023-03-27,254.0
2023-03-28,244.0
2023-03-29,338.0
2023-03-30,292.0
2023-03-31,381.0
2023-04-01,720.0
2023-04-02,706.0
2023-04-03,311.0
2023-04-04,245.0
2023-04-05,252.0
2023-04-06,433.0
2023-04-07,463.0
2023-04-08,1113.0
2023-04-09,1560.0
2023-04-10,2541.0
2023-04-11,460.0
2023-04-12,316.0
2023-04-13,277.0
2023-04-14,283.0
2023-04-15,749.0
2023-04-16,1392.0
2023-04-17,293.0
2023-04-18,221.0
2023-04-19,297.0
2023-04-20,293.0
2023-04-21,321.0
2023-04-22,981.0
2023-04-23,2056.0
2023-04-24,1448.0
2023-04-25,1671.0
2023-04-26,324.0
2023-04-27,308.0
2023-04-28,418.0
2023-04-29,873.0
2023-04-30,1742.0
2023-05-01,798.0
2023-05-02,17.0
2023-05-03,212.0
2023-05-04,366.0
2023-05-05,281.0
2023-05-06,692.0
2023-05-07,2134.0
2023-05-08,436.0
2023-05-09,425.0
2023-05-10,55.0
2023-05-11,302.0
2023-05-12,390.0
2023-05-13,1057.0
2023-05-14,465.0
2023-05-15,318.0
2023-05-16,36.0
2023-05-17,130.0
2023-05-18,301.0
2023-05-19,149.0
2023-05-20,180.0
2023-05-21,394.0
2023-05-22,291.0
2023-05-23,144.0
2023-05-24,272.0
2023-05-25,302.0
2023-05-26,322.0
2023-05-27,670.0
2023-05-28,793.0
2023-05-29,303.0
2023-05-30,499.0
2023-05-31,312.0
2023-06-01,353.0
2023-06-02,910.0
2023-06-03,668.0
2023-06-04,686.0
2023-06-05,204.0
2023-06-06,284.0
2023-06-07,296.0
2023-06-08,467.0
2023-06-09,349.0
2023-06-10,536.0
2023-06-11,755.0
2023-06-12,299.0
2023-06-13,248.0
2023-06-14,311.0
2023-06-15,317.0
2023-06-16,304.0
2023-06-17,624.0
2023-06-18,630.0
2023-06-19,281.0
2023-06-20,228.0
2023-06-21,299.0
2023-06-22,245.0
2023-06-23,340.0
2023-06-24,482.0
2023-06-25,671.0
2023-06-26,260.0
2023-06-27,219.0
2023-06-28,536.0
2023-06-29,262.0
2023-06-30,269.0
2023-07-01,540.0
2023-07-02,740.0
2023-07-03,234.0
2023-07-04,324.0
2023-07-05,268.0
2023-07-06,355.0
2023-07-07,270.0
2023-07-08,396.0
2023-07-09,386.0
2023-07-10,226.0
2023-07-11,230.0
2023-07-12,231.0
2023-07-13,349.0
2023-07-14,304.0
2023-07-15,427.0
2023-07-16,453.0
2023-07-17,258.0
2023-07-18,201.0
2023-07-19,221.0
2023-07-20,328.0
2023-07-21,326.0
2023-07-22,598.0
2023-07-23,535.0
2023-07-24,268.0
2023-07-25,275.0
2023-07-26,291.0
2023-07-27,324.0
2023-07-28,373.0
2023-07-29,400.0
2023-07-30,628.0
2023-07-31,285.0
2023-08-01,246.0
2023-08-02,261.0
2023-08-03,319.0
2023-08-04,300.0
2023-08-05,338.0
2023-08-06,611.0
2023-08-07,314.0
2023-08-08,294.0
2023-08-09,278.0
2023-08-10,337.0
2023-08-11,287.0
2023-08-12,397.0
2023-08-13,510.0
2023-08-14,410.0
2023-08-15,558.0
2023-08-16,349.0
2023-08-17,387.0
2023-08-18,375.0
2023-08-19,349.0
2023-08-20,359.0
2023-08-21,287.0
2023-08-22,234.0
2023-08-23,279.0
2023-08-24,251.0
2023-08-25,264.0
2023-08-26,388.0
2023-08-27,474.0
2023-08-28,311.0
2023-08-29,377.0
2023-08-30,345.0
2023-08-31,438.0
2023-09-01,794.0
2023-09-02,1195.0
2023-09-03,2248.0
2023-09-04,852.0
2023-09-05,364.0
2023-09-06,281.0
2023-09-07,292.0
2023-09-08,317.0
2023-09-09,556.0
2023-09-10,711.0
2023-09-11,334.0
2023-09-12,300.0
2023-09-13,321.0
2023-09-14,352.0
2023-09-15,423.0
2023-09-16,677.0
2023-09-17,1473.0
2023-09-18,301.0
2023-09-19,309.0
2023-09-20,271.0
2023-09-21,362.0
2023-09-22,255.0
2023-09-23,571.0
2023-09-24,1198.0
2023-09-25,259.0
2023-09-26,303.0
2023-09-27,268.0
2023-09-28,266.0
2023-09-29,319.0
2023-09-30,790.0
2023-10-01,1182.0
2023-10-02,303.0
2023-10-03,305.0
2023-10-04,428.0
2023-10-05,291.0
2023-10-06,307.0
2023-10-07,669.0
2023-10-08,1180.0
2023-10-09,293.0
2023-10-10,270.0
2023-10-11,237.0
2023-10-12,251.0
2023-10-13,305.0
2023-10-14,619.0
2023-10-15,912.0
2023-10-16,217.0
2023-10-17,242.0
2023-10-18,84.0
2023-10-19,165.0
2023-10-20,228.0
2023-10-21,537.0
2023-10-22,1350.0
2023-10-23,227.0
2023-10-24,172.0
2023-10-25,178.0
2023-10-26,208.0
2023-10-27,228.0
2023-10-28,582.0
2023-10-29,906.0
2023-10-30,242.0
2023-10-31,378.0
2023-11-01,811.0
2023-11-02,234.0
2023-11-03,316.0
2023-11-04,703.0
2023-11-05,948.0
2023-11-06,214.0
2023-11-07,295.0
2023-11-08,232.0
2023-11-09,219.0
2023-11-10,260.0
2023-11-11,605.0
2023-11-12,784.0
2023-11-13,226.0
2023-11-14,247.0
2023-11-15,208.0
2023-11-16,260.0
2023-11-17,266.0
2023-11-18,559.0
2023-11-19,907.0
2023-11-20,236.0
2023-11-21,93.0
2023-11-22,213.0
2023-11-23,237.0
2023-11-24,225.0
2023-11-25,367.0
2023-11-26,733.0
2023-11-27,179.0
2023-11-28,243.0
2023-11-29,223.0
2023-11-30,145.0
2023-12-01,318.0
2023-12-02,477.0
2023-12-03,656.0
2023-12-04,122.0
2023-12-05,175.0
2023-12-06,219.0
2023-12-07,283.0
2023-12-08,506.0
2023-12-09,571.0
2023-12-10,739.0
2023-12-11,176.0
2023-12-12,190.0
2023-12-13,172.0
2023-12-14,197.0
2023-12-15,244.0
2023-12-16,417.0
2023-12-17,857.0
2023-12-18,234.0
2023-12-19,222.0
2023-12-20,216.0
2023-12-21,212.0
2023-12-22,394.0
2023-12-23,337.0
2023-12-24,394.0
2023-12-25,531.0
2023-12-26,706.0
2023-12-27,317.0
2023-12-28,440.0
2023-12-29,449.0
2023-12-30,568.0
2023-12-31,457.0
2024-01-01,872.0
2024-01-02,469.0
2024-01-03,448.0
2024-01-04,33.0
2024-01-05,347.0
2024-01-06,125.0
2024-01-07,38.0
2024-01-08,151.0
2024-01-09,249.0
2024-01-10,177.0
2024-01-11,214.0
2024-01-12,244.0
2024-01-13,409.0
2024-01-14,508.0
2024-01-15,200.0
2024-01-16,214.0
2024-01-17,139.0
2024-01-18,234.0
2024-01-19,155.0
2024-01-20,404.0
2024-01-21,718.0
2024-01-22,237.0
2024-01-23,287.0
2024-01-24,224.0
2024-01-25,216.0
2024-01-26,327.0
2024-01-27,514.0
2024-01-28,510.0
2024-01-29,217.0
2024-01-30,251.0
2024-01-31,225.0
2024-02-01,224.0
2024-02-02,237.0
2024-02-03,2.0
2024-02-22,209.0
2024-02-23,219.0
2024-02-24,549.0
2024-02-25,958.0
2024-02-26,171.0
2024-02-27,119.0
2024-02-28,125.0
2024-02-29,137.0
2024-03-01,144.0
2024-03-02,451.0
2024-03-03,679.0
2024-03-04,224.0
2024-03-05,256.0
2024-03-06,272.0
2024-03-07,286.0
2024-03-08,306.0
2024-03-09,455.0
2024-03-10,487.0
2024-03-11,297.0
2024-03-12,285.0
2024-03-13,249.0
2024-03-14,226.0
2024-03-15,394.0
2024-03-16,596.0
2024-03-17,1041.0
2024-03-18,245.0
2024-03-19,260.0
2024-03-20,297.0
2024-03-21,286.0
2024-03-22,316.0
2024-03-23,674.0
2024-03-24,1209.0
2024-03-25,333.0
2024-03-26,101.0
2024-03-27,199.0
2024-03-28,374.0
2024-03-29,539.0
2024-03-30,995.0
2024-03-31,1331.0
2024-04-01,1482.0
2024-04-02,388.0
2024-04-03,269.0
2024-04-04,352.0
2024-04-05,419.0
2024-04-06,660.0
2024-04-07,1161.0
2024-04-08,300.0
2024-04-09,360.0
2024-04-10,214.0
2024-04-11,359.0
2024-04-12,311.0
2024-04-13,550.0
2024-04-14,1060.0
2024-04-15,298.0
2024-04-16,303.0
2024-04-17,318.0
2024-04-18,219.0
2024-04-19,373.0
2024-04-20,590.0
2024-04-21,581.0
2024-04-22,137.0
2024-04-23,224.0
2024-04-24,271.0
2024-04-25,1663.0
2024-04-26,889.0
2024-04-27,830.0
2024-04-28,1513.0
2024-04-29,408.0
2024-04-30,471.0
2024-05-01,926.0
2024-05-02,379.0
2024-05-03,433.0
2024-05-04,795.0
2024-05-05,1250.0
2024-05-06,288.0
2024-05-07,245.0
2024-05-08,308.0
2024-05-09,380.0
2024-05-10,717.0
2024-05-11,1923.0
2024-05-12,3043.0
2024-05-13,344.0
2024-05-14,258.0
2024-05-15,249.0
2024-05-16,349.0
2024-05-17,398.0
2024-05-18,888.0
2024-05-19,831.0
2024-05-20,242.0
2024-05-21,369.0
2024-05-22,367.0
2024-05-23,345.0
2024-05-24,452.0
2024-05-25,542.0
2024-05-26,1107.0
2024-05-27,331.0
2024-05-28,329.0
2024-05-29,308.0
2024-05-30,382.0
2024-05-31,344.0
2024-06-01,611.0
2024-06-02,665.0
2024-06-03,413.0
2024-06-04,325.0
2024-06-05,245.0
2024-06-06,366.0
2024-06-07,461.0
2024-06-08,670.0
2024-06-09,818.0
2024-06-10,341.0
2024-06-11,301.0
2024-06-12,351.0
2024-06-13,466.0
2024-06-14,303.0
2024-06-15,468.0
2024-06-16,776.0
2024-06-17,299.0
2024-06-18,278.0
2024-06-19,265.0
2024-06-20,253.0
2024-06-21,284.0
2024-06-22,432.0
2024-06-23,473.0
2024-06-24,281.0
2024-06-25,227.0
2024-06-26,292.0
2024-06-27,265.0
2024-06-28,376.0
2024-06-29,526.0
2024-06-30,442.0
2024-07-01,244.0
2024-07-02,280.0
2024-07-03,230.0
2024-07-04,353.0
2024-07-05,305.0
2024-07-06,424.0
2024-07-07,549.0
2024-07-08,304.0
2024-07-09,241.0
2024-07-10,262.0
2024-07-11,296.0
2024-07-12,239.0
2024-07-13,389.0
2024-07-14,359.0
2024-07-15,422.0
2024-07-16,226.0
2024-07-17,259.0
2024-07-18,315.0
2024-07-19,307.0
2024-07-20,482.0
2024-07-21,440.0
2024-07-22,147.0
2024-10-25,68.0
2024-10-26,495.0
2024-10-27,591.0
2024-10-28,247.0
2024-10-29,248.0
2024-10-30,227.0
2024-10-31,1035.0
2024-11-01,767.0
2024-11-02,980.0
2024-11-03,909.0
2024-11-04,288.0
2024-11-05,218.0
2024-11-06,211.0
2024-11-07,215.0
2024-11-08,268.0
2024-11-09,450.0
2024-11-10,825.0
2024-11-11,121.0
2024-11-12,49.0
2024-11-13,245.0
2024-11-14,232.0
2024-11-15,251.0
2024-11-16,414.0
2024-11-17,761.0
2024-11-18,260.0
2024-11-19,191.0
2024-11-20,167.0
2024-11-21,189.0
2024-11-22,223.0
2024-11-23,476.0
2024-11-24,606.0
2024-11-25,223.0
2024-11-26,206.0
2024-11-27,173.0
2024-11-28,192.0
2024-11-29,222.0
2024-11-30,468.0
2024-12-01,597.0
2024-12-02,185.0
2024-12-03,158.0
2024-12-04,89.0
2024-12-05,234.0
2024-12-06,255.0
2024-12-07,33.0
2025-02-18,137.0
2025-02-19,215.0
2025-02-20,221.0
2025-02-21,298.0
2025-02-22,457.0
2025-02-23,818.0
2025-02-24,217.0
2025-02-25,189.0
2025-02-26,70.0
2025-02-27,222.0
2025-02-28,267.0
2025-03-01,124.0
2025-03-02,800.0
2025-03-03,298.0
2025-03-04,257.0
2025-03-05,276.0
2025-03-06,218.0
2025-03-07,244.0
2025-03-08,629.0
2025-03-09,1014.0
2025-03-10,196.0
2025-03-11,191.0
2025-03-12,117.0
2025-03-13,228.0
2025-03-14,75.0
2025-03-15,367.0
2025-03-16,760.0
2025-03-17,211.0
2025-03-18,228.0
2025-03-19,283.0
2025-03-20,306.0
2025-03-21,291.0
2025-03-22,426.0
2025-03-23,887.0
2025-03-24,246.0
2025-03-25,239.0
2025-03-26,268.0
2025-03-27,167.0
2025-03-28,269.0
2025-03-29,408.0
2025-03-30,1204.0
2025-03-31,329.0
2025-04-01,244.0
2025-04-02,275.0
2025-04-03,347.0
2025-04-04,376.0
2025-04-05,810.0
2025-04-06,816.0
2025-04-07,268.0
2025-04-08,291.0
2025-04-09,308.0
2025-04-10,350.0
2025-04-11,406.0
2025-04-12,712.0
2025-04-13,282.0
2025-04-14,105.0
2025-04-15,276.0
2025-04-16,298.0
2025-04-17,378.0
2025-04-18,405.0
2025-04-19,914.0
2025-04-20,1111.0
2025-04-21,1867.0
2025-04-22,510.0
2025-04-23,348.0
2025-04-24,584.0
2025-04-25,1410.0
2025-04-26,1230.0
2025-04-27,1071.0
2025-04-28,300.0
2025-04-29,344.0
2025-04-30,322.0
2025-05-01,1342.0
2025-05-02,644.0
2025-05-03,979.0
2025-05-04,915.0
2025-05-05,275.0
2025-05-06,305.0
2025-05-07,280.0
2025-05-08,319.0
2025-05-09,487.0
2025-05-10,1244.0
2025-05-11,2486.0
2025-05-12,325.0
2025-05-13,297.0
2025-05-14,307.0
2025-05-15,276.0
2025-05-16,352.0
2025-05-17,562.0
2025-05-18,682.0
2025-05-19,319.0
2025-05-20,229.0
2025-05-21,292.0
2025-05-22,326.0
2025-05-23,334.0
2025-05-24,699.0
2025-05-25,923.0
2025-05-26,258.0
2025-05-27,342.0
2025-05-28,272.0
2025-05-29,360.0
2025-05-30,369.0
2025-05-31,588.0
2025-06-01,728.0
2025-06-02,759.0
2025-06-03,253.0
2025-06-04,345.0
2025-06-05,273.0
2025-06-06,334.0
2025-06-07,563.0
2025-06-08,587.0
2025-06-09,364.0
2025-06-10,377.0
2025-06-11,296.0
2025-06-12,560.0
2025-06-13,307.0
2025-06-14,473.0
2025-06-15,419.0
2025-06-16,218.0
2025-06-17,228.0
2025-06-18,286.0
2025-06-19,327.0
2025-06-20,515.0
2025-06-21,640.0
2025-06-22,832.0
2025-06-23,276.0
2025-06-24,453.0
2025-06-25,265.0
